"SEO 2008 Code","SEO 2008 Name"
"810101","Air Force"
"810102","Army"
"810103","Command, Control and Communications"
"810104","Emerging Defence Technologies"
"810105","Intelligence"
"810106","Logistics"
"810107","National Security"
"810108","Navy"
"810109","Personnel"
"810199","Defence not elsewhere classified"
"820101","Hardwood Plantations"
"820102","Harvesting and Transport of Forest Products"
"820103","Integration of Farm and Forestry"
"820104","Native Forests"
"820105","Softwood Plantations"
"820199","Forestry not elsewhere classified"
"820201","Almonds"
"820202","Berry Fruit (excl. Kiwifruit)"
"820203","Citrus Fruit"
"820204","Hops"
"820205","Kiwifruit"
"820206","Macadamias"
"820207","Mushrooms and Truffles"
"820208","Olives"
"820209","Ornamentals, Natives, Flowers and Nursery Plants"
"820210","Pome Fruit, Pip Fruit"
"820211","Stone Fruit"
"820212","Table Grapes"
"820213","Tree Nuts (excl. Almonds and Macadamias)"
"820214","Tropical Fruit"
"820215","Vegetables"
"820299","Horticultural Crops not elsewhere classified"
"820301","Cotton"
"820302","Essential Oil Crops (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)"
"820303","Plant Extract Crops (e.g. Pyrethrum, Jojoba)"
"820304","Sugar"
"820305","Tobacco"
"820306","Wine Grapes"
"820399","Industrial Crops not elsewhere classified"
"820401","Maize"
"820402","Rice"
"820403","Safflower Seed"
"820404","Sorghum"
"820405","Soybeans"
"820499","Summer Grains and Oilseeds not elsewhere classified"
"820501","Barley"
"820502","Canola"
"820503","Grain Legumes"
"820504","Linseed"
"820505","Lupins"
"820506","Oats"
"820507","Wheat"
"820599","Winter Grains and Oilseeds not elsewhere classified"
"820601","Cotton Lint and Cotton Seed"
"820602","Fresh Fruits and Vegetables (Post Harvest)"
"820603","Sugar Cane (Cut for Crushing)"
"820604","Tobacco Leaf"
"820605","Unprocessed Grains"
"820606","Unprocessed Industrial Crops (excl. Sugar, Tobacco and Cotton)"
"820607","Unprocessed Oilseeds"
"820699","Harvesting and Packing of Plant Products not elsewhere classified"
"829801","Management of Gaseous Waste from Plant Production (excl. Greenhouse Gases)"
"829802","Management of Greenhouse Gas Emissions from Plant Production"
"829803","Management of Liquid Waste from Plant Production (excl. Water)"
"829804","Management of Solid Waste from Plant Production"
"829805","Management of Water Consumption by Plant Production"
"829899","Environmentally Sustainable Plant Production not elsewhere classified"
"829901","Forest Product Traceability and Quality Assurance"
"829902","Plant Product Traceability and Quality Assurance (excl. Forest Products)"
"829999","Plant Production and Plant Primary Products not elsewhere classified"
"830101","Aquaculture Crustaceans (excl. Rock Lobster and Prawns)"
"830102","Aquaculture Fin Fish (excl. Tuna)"
"830103","Aquaculture Molluscs (excl. Oysters)"
"830104","Aquaculture Oysters"
"830105","Aquaculture Prawns"
"830106","Aquaculture Rock Lobster"
"830107","Aquaculture Tuna"
"830199","Fisheries - Aquaculture not elsewhere classified"
"830201","Fisheries - Recreational"
