Date: 01-10-09

Time: 13:10:54



Exp. Conditions:

Cyclic voltammetry

Start potential (V) = .0000

First vertex potential (V) = 1.5000

Second vertex potential (V) = -.2979

Step potential (V) = .00244

Scan rate (V/s) = .15001

Equilibration time (s) = 1

Number of Data Points =  1474 



 Potential	  Scan 1   	  Scan 2   	  Scan 3   	  Scan 4   	  Scan 5   	  Scan 6   	  Scan 7   	  Scan 8   	  Scan 9   	  Scan 10   	  Scan 11   	  Scan 12   	  Scan 13   	  Scan 14   	  Scan 15   	  Scan 16   	  Scan 17   	  Scan 18   	  Scan 19   	  Scan 20   	

 0.000000	-3.611145E-06	-2.609863E-06	-2.353516E-06	-2.150269E-06	-2.069397E-06	-1.985779E-06	-1.940002E-06	-1.799622E-06	-1.660156E-06	-1.629639E-06	-1.587524E-06	-1.539612E-06	-1.527405E-06	-1.498413E-06	-1.471863E-06	-1.436768E-06	-1.412964E-06	-1.389160E-06	-1.368713E-06	-1.351318E-06

 0.002441	-3.533020E-06	-2.590942E-06	-2.336731E-06	-2.138977E-06	-2.054138E-06	-1.974792E-06	-1.928406E-06	-1.789246E-06	-1.644897E-06	-1.612854E-06	-1.570740E-06	-1.529846E-06	-1.511841E-06	-1.486206E-06	-1.461487E-06	-1.428223E-06	-1.401978E-06	-1.377258E-06	-1.356201E-06	-1.337585E-06

 0.004883	-3.473816E-06	-2.578125E-06	-2.322693E-06	-2.125854E-06	-2.042847E-06	-1.957092E-06	-1.913757E-06	-1.775208E-06	-1.632996E-06	-1.593933E-06	-1.560974E-06	-1.511536E-06	-1.499939E-06	-1.472168E-06	-1.452637E-06	-1.416016E-06	-1.383972E-06	-1.367188E-06	-1.341858E-06	-1.321716E-06

 0.007324	-3.425903E-06	-2.564697E-06	-2.312622E-06	-2.109070E-06	-2.023621E-06	-1.942444E-06	-1.897583E-06	-1.759644E-06	-1.622009E-06	-1.584473E-06	-1.548767E-06	-1.497803E-06	-1.490479E-06	-1.453857E-06	-1.438293E-06	-1.402893E-06	-1.369019E-06	-1.350403E-06	-1.332092E-06	-1.313477E-06

 0.009766	-3.383789E-06	-2.546387E-06	-2.292786E-06	-2.094727E-06	-2.007141E-06	-1.925659E-06	-1.878357E-06	-1.742859E-06	-1.611328E-06	-1.572571E-06	-1.539001E-06	-1.483459E-06	-1.479492E-06	-1.441650E-06	-1.422729E-06	-1.385498E-06	-1.357117E-06	-1.335449E-06	-1.320801E-06	-1.301880E-06

